"時点","地域コード","地域","総人口（総数）【人】","注記","完全失業率（男女計）【%】","注記","景気動向指数（一致）2020年基準","注記","国内総生産（支出側）（名目）2020年基準【10億円】","注記","県内総生産（名目）2015年基準【百万円】","注記"
"2011年1月","00000","全国","128027000","","4.8","","108.5","","","","",""
"2011年2月","00000","全国","127994000","","4.6","","110.0","","","","",""
"2011年3月","00000","全国","127945000","","4.9","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","102.1","","","","",""
"2011年4月","00000","全国","127708000","","5.0","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","100.9","","","","",""
"2011年5月","00000","全国","127749000","","4.7","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","103.5","","","","",""
"2011年6月","00000","全国","127809000","","4.7","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","105.8","","","","",""
"2011年7月","00000","全国","127833000","","4.7","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","106.9","","","","",""
"2011年8月","00000","全国","127838000","","4.5","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","108.0","","","","",""
"2011年9月","00000","全国","127797000","","4.2","","108.8","","","","",""
"2011年10月","00000","全国","127834000","","4.4","","110.4","","","","",""
"2011年11月","00000","全国","127839000","","4.3","","108.9","","","","",""
"2011年12月","00000","全国","127831000","","4.2","","111.0","","","","",""
"2012年1月","00000","全国","127708000","","4.5","","111.1","","","","",""
"2012年2月","00000","全国","127678000","","4.4","","112.0","","","","",""
"2012年3月","00000","全国","127629000","","4.7","","113.3","","","","",""
"2012年4月","00000","全国","127625000","","4.8","","111.8","","","","",""
"2012年5月","00000","全国","127584000","","4.5","","111.6","","","","",""
"2012年6月","00000","全国","127611000","","4.4","","109.3","","","","",""
"2012年7月","00000","全国","127629000","","4.4","","108.7","","","","",""
"2012年8月","00000","全国","127625000","","4.2","","108.5","","","","",""
"2012年9月","00000","全国","127561000","","4.2","","107.1","","","","",""
"2012年10月","00000","全国","127593000","","4.1","","107.0","","","","",""
"2012年11月","00000","全国","127593000","","4.0","","106.4","","","","",""
"2012年12月","00000","全国","127575000","","4.0","","107.8","","","","",""
"2013年1月","00000","全国","127529000","","4.2","","108.0","","","","",""
"2013年2月","00000","全国","127501000","","4.2","","109.0","","","","",""
"2013年3月","00000","全国","127429000","","4.3","","110.7","","","","",""
"2013年4月","00000","全国","127450000","","4.4","","111.3","","","","",""
"2013年5月","00000","全国","127409000","","4.2","","112.8","","","","",""
"2013年6月","00000","全国","127428000","","3.9","","112.5","","","","",""
"2013年7月","00000","全国","127445000","","3.9","","113.5","","","","",""
"2013年8月","00000","全国","127445000","","4.1","","114.6","","","","",""
"2013年9月","00000","全国","127375000","","3.9","","115.3","","","","",""
"2013年10月","00000","全国","127414000","","4.0","","116.0","","","","",""
"2013年11月","00000","全国","127413000","","3.8","","117.1","","","","",""
"2013年12月","00000","全国","127399000","","3.4","","117.1","","","","",""
"2014年1月","00000","全国","127357000","","3.7","","118.6","","","","",""
"2014年2月","00000","全国","127315000","","3.6","","118.4","","","","",""
"2014年3月","00000","全国","127267000","","3.8","","120.4","","","","",""
"2014年4月","00000","全国","127270000","","3.9","","116.3","","","","",""
"2014年5月","00000","全国","127235000","","3.6","","116.8","","","","",""
"2014年6月","00000","全国","127254000","","3.7","","115.6","","","","",""
"2014年7月","00000","全国","127276000","","3.8","","116.2","","","","",""
"2014年8月","00000","全国","127270000","","3.5","","115.4","","","","",""
"2014年9月","00000","全国","127197000","","3.5","","116.9","","","","",""
"2014年10月","00000","全国","127237000","","3.5","","116.6","","","","",""
"2014年11月","00000","全国","127240000","","3.3","","116.0","","","","",""
"2014年12月","00000","全国","127225000","","3.2","","116.2","","","","",""
"2015年1月","00000","全国","127177000","","3.5","","118.2","","","","",""
"2015年2月","00000","全国","127158000","","3.5","","116.7","","","","",""
"2015年3月","00000","全国","127066000","","3.5","","116.0","","","","",""
"2015年4月","00000","全国","127112000","","3.6","","117.2","","","","",""
"2015年5月","00000","全国","127080000","","3.4","","116.4","","","","",""
"2015年6月","00000","全国","127109000","","3.4","","117.2","","","","",""
"2015年7月","00000","全国","127141000","","3.4","","117.0","","","","",""
"2015年8月","00000","全国","127128000","","3.4","","116.1","","","","",""
"2015年9月","00000","全国","127065000","","3.4","","117.0","","","","",""
"2015年10月","00000","全国","127094745","総務省統計局「国勢調査」による。","3.1","","116.7","","","","",""
"2015年11月","00000","全国","127104000","","3.2","","116.0","","","","",""
"2015年12月","00000","全国","127106000","","3.1","","115.1","","","","",""
"2016年1月","00000","全国","127053000","","3.2","","116.5","","","","",""
"2016年2月","00000","全国","127050000","","3.2","","115.4","","","","",""
"2016年3月","00000","全国","126992000","","3.3","","115.7","","","","",""
"2016年4月","00000","全国","127029000","","3.4","","115.4","","","","",""
"2016年5月","00000","全国","126988000","","3.2","","115.1","","","","",""
"2016年6月","00000","全国","127042000","","3.1","","115.4","","","","",""
"2016年7月","00000","全国","127076000","","3.0","","115.9","","","","",""
