"時点","地域コード","地域","完全失業率（男女計）【%】","注記","日経平均株価【円】","注記","消費者物価指数（総合）2020年基準","注記","景気動向指数（先行）2020年基準","注記"
"2013年3月","00000","全国","4.3","","12397.91","","94.2","","114.3",""
"2013年4月","00000","全国","4.4","","13860.86","","94.5","","115.6",""
"2013年5月","00000","全国","4.2","","13774.54","","94.6","","117.4",""
"2013年6月","00000","全国","3.9","","13677.32","","94.6","","115.9",""
"2013年7月","00000","全国","3.9","","13668.32","","94.8","","116.8",""
"2013年8月","00000","全国","4.1","","13388.86","","95.1","","117.0",""
"2013年9月","00000","全国","3.9","","14455.80","","95.4","","118.6",""
"2013年10月","00000","全国","4.0","","14327.94","","95.5","","118.7",""
"2013年11月","00000","全国","3.8","","15661.87","","95.5","","120.3",""
"2013年12月","00000","全国","3.4","","16291.31","","95.6","","119.5",""
"2014年1月","00000","全国","3.7","","14914.53","","95.5","","119.7",""
"2014年2月","00000","全国","3.6","","14841.07","","95.5","","116.3",""
"2014年3月","00000","全国","3.8","","14827.83","","95.7","","115.1",""
"2014年4月","00000","全国","3.9","","14304.11","","97.7","","112.6",""
"2014年5月","00000","全国","3.6","","14632.38","","98.1","","111.4",""
"2014年6月","00000","全国","3.7","","15162.10","","98.0","","111.3",""
"2014年7月","00000","全国","3.8","","15620.77","","98.1","","112.9",""
"2014年8月","00000","全国","3.5","","15424.59","","98.3","","112.7",""
"2014年9月","00000","全国","3.5","","16173.52","","98.5","","113.1",""
"2014年10月","00000","全国","3.5","","16413.76","","98.2","","112.0",""
"2014年11月","00000","全国","3.3","","17459.85","","97.9","","112.5",""
"2014年12月","00000","全国","3.2","","17450.77","","97.9","","112.3",""
"2015年1月","00000","全国","3.5","","17674.39","","97.8","","111.9",""
"2015年2月","00000","全国","3.5","","18797.94","","97.6","","112.1",""
"2015年3月","00000","全国","3.5","","19206.99","","97.9","","112.3",""
"2015年4月","00000","全国","3.6","","19520.01","","98.4","","113.4",""
"2015年5月","00000","全国","3.4","","20563.15","","98.7","","114.6",""
"2015年6月","00000","全国","3.4","","20235.73","","98.4","","114.1",""
"2015年7月","00000","全国","3.4","","20585.24","","98.3","","112.6",""
"2015年8月","00000","全国","3.4","","18890.48","","98.4","","111.8",""
"2015年9月","00000","全国","3.4","","17388.15","","98.5","","110.4",""
"2015年10月","00000","全国","3.1","","19083.10","","98.5","","110.9",""
"2015年11月","00000","全国","3.2","","19747.47","","98.1","","109.8",""
"2015年12月","00000","全国","3.1","","19033.71","","98.1","","108.3",""
"2016年1月","00000","全国","3.2","","17518.30","","97.7","","108.2",""
"2016年2月","00000","全国","3.2","","16026.76","","97.8","","106.7",""
"2016年3月","00000","全国","3.3","","16758.67","","97.9","","106.8",""
"2016年4月","00000","全国","3.4","","16666.05","","98.1","","106.9",""
"2016年5月","00000","全国","3.2","","17234.98","","98.2","","106.9",""
"2016年6月","00000","全国","3.1","","15575.92","","98.1","","107.1",""
"2016年7月","00000","全国","3.0","","16569.27","","97.9","","107.3",""
"2016年8月","00000","全国","3.2","","16887.40","","97.9","","107.2",""
"2016年9月","00000","全国","3.0","","16449.84","","98.0","","107.4",""
"2016年10月","00000","全国","2.9","","17425.02","","98.6","","108.5",""
"2016年11月","00000","全国","3.0","","18308.48","","98.6","","109.8",""
"2016年12月","00000","全国","2.9","","19114.37","","98.4","","111.9",""
"2017年1月","00000","全国","3.0","","19041.34","","98.2","","112.3",""
"2017年2月","00000","全国","2.8","","19118.99","","98.1","","112.0",""
"2017年3月","00000","全国","2.8","","18909.26","","98.1","","112.6",""
"2017年4月","00000","全国","2.9","","19196.74","","98.5","","112.2",""
"2017年5月","00000","全国","3.1","","19650.57","","98.6","","112.0",""
"2017年6月","00000","全国","2.8","","20033.43","","98.5","","112.7",""
"2017年7月","00000","全国","2.8","","19925.18","","98.3","","112.7",""
"2017年8月","00000","全国","2.8","","19646.24","","98.5","","113.8",""
"2017年9月","00000","全国","2.8","","20356.28","","98.8","","113.4",""
"2017年10月","00000","全国","2.7","","22011.61","","98.8","","113.2",""
"2017年11月","00000","全国","2.6","","22724.96","","99.1","","114.6",""
"2017年12月","00000","全国","2.6","","22764.94","","99.4","","113.7",""
"2018年1月","00000","全国","2.4","","23098.29","","99.5","","112.8",""
"2018年2月","00000","全国","2.5","","22068.24","","99.5","","112.9",""
"2018年3月","00000","全国","2.5","","21454.30","","99.2","","111.9",""
"2018年4月","00000","全国","2.6","","22467.87","","99.1","","113.2",""
"2018年5月","00000","全国","2.3","","22201.82","","99.3","","113.6",""
"2018年6月","00000","全国","2.5","","22304.51","","99.2","","112.3",""
"2018年7月","00000","全国","2.5","","22553.72","","99.2","","111.2",""
"2018年8月","00000","全国","2.5","","22865.15","","99.8","","111.6",""
"2018年9月","00000","全国","2.4","","24120.04","","99.9","","110.9",""
